,lien,Energie,Kilométrage,Puissance,Mise en circulation,Boite,Date Annonce,prix,Modèle,Marque,Etat du véhicule
3324,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-c200-10cv-essence-12242,Essence,129000 Km,10 CV,07-2012,Automatique,29 Nov. 2016,76000,Classe C,Mercedes,Excellent
3325,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bwm-x6-35-xdrive-22-cv-essence-12240,Essence,120000 Km,22 CV,05-2008,Automatique,29 Nov. 2016,85000,X6,BMW,Excellent
3326,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-5-523i-6-cylindres-12239,Essence,100000 Km,12 CV,12-2011,Automatique,29 Nov. 2016,82000,SERIE 5 ,BMW,Excellent
3327,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/passat-cc-18-10-cv-essence-12238,Essence,71000 Km,7 CV,11-2013,Automatique,29 Nov. 2016,72000,Passat,Volkswagen,Excellent
3328,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-sportage-17-crdi-12237,Diesel,117000 Km,7 CV,06-2013,Automatique,29 Nov. 2016,68000,Sportages,Kia,Excellent
3329,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-7-16-diesel-12236,Diesel,96000 Km,5 CV,08-2014,Automatique,29 Nov. 2016,48000,Golf 7,Volkswagen,Excellent
3330,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-6-5cv-12234,Essence,118000 Km,5 CV,12-2011,Automatique,29 Nov. 2016,30000,Golf 6,Volkswagen,Excellent
3331,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-7-5cv-essenc-12235,Essence,6500 Km,5 CV,05-2013,Automatique,29 Nov. 2016,44000,Golf 7,Volkswagen,Excellent
3332,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/chrysler-300-l-12233,Essence,95000 Km,4 CV,12-2013,Automatique,29 Nov. 2016,70000,300M,Chrysler,Excellent
3333,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-c180-9cv-essence-12232,Essence,85000 Km,9 CV,05-2011,Automatique,29 Nov. 2016,68000,Classe C,Mercedes,Excellent
3334,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bwm-x6-35-xdrive-22-cv-essence-12231,Essence,120000 Km,22 CV,05-2008,Automatique,29 Nov. 2016,85000,X6,BMW,Excellent
3335,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-5-523i-12230,Essence,100000 Km,12 CV,12-2011,Automatique,29 Nov. 2016,82000,SERIE 5 ,BMW,Excellent
3336,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a4-18tfsi-7cv-essence-12229,Essence,93000 Km,7 CV,08-2012,Manuelle,29 Nov. 2016,49500,A4,Audi,Excellent
3337,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-12224,Essence,7000 Km,,2015,Manuelle,28 Nov. 2016,33000,RIO,Kia,Excellent
3338,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-clio-12223,Essence,67000 Km,,2013,Manuelle,28 Nov. 2016,29000,Clio,Renault,Très bon
3339,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/dacia-sandero-12222,Essence,22000 Km,5 CV,2015,Manuelle,28 Nov. 2016,23500,Sandero ,Dacia,Très bon
3340,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a4-12221,Essence,89000 Km,7 CV,2011,Manuelle,28 Nov. 2016,35000,A4,Audi,Très bon
3341,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-panda-12220,Essence,145000 Km,,2006,Manuelle,28 Nov. 2016,15700,Panda,Fiat,Très bon
3342,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-6-12219,Diesel,125000 Km,,2012,Manuelle,28 Nov. 2016,35400,Golf 6,Volkswagen,Très bon
3343,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fiesta-12218,Essence,63000 Km,,2015,Manuelle,28 Nov. 2016,29500,Fiesta,Ford,Très bon
3344,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-12217,Essence,175000 Km,,2004,Manuelle,28 Nov. 2016,15500,Astra,Opel,Bon
3345,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-kangoo-12216,Diesel,230000 Km,,2000,Manuelle,28 Nov. 2016,6300,Kangoo,Renault,Bon
3346,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-symbol-12215,Essence,97000 Km,5 CV,2011,Manuelle,28 Nov. 2016,16000,Symbol,Renault,Très bon
3347,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/dacia-sandero-12214,Essence,72000 Km,,2014,Manuelle,28 Nov. 2016,19500,Sandero ,Dacia,Très bon
3348,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-megane-12213,Essence,200 Km,,2003,Manuelle,28 Nov. 2016,14500,Megane,Renault,Très bon
3349,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-megane-12212,Diesel,171 Km,5 CV,2010,Manuelle,28 Nov. 2016,23000,Megane,Renault,Très bon
3350,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-focus-12211,Essence,230000 Km,,2011,Manuelle,28 Nov. 2016,21000,Focus,Ford,Très bon
3351,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-12210,Essence,270000 Km,5 CV,2001,Manuelle,28 Nov. 2016,14000,Astra,Opel,Bon
3352,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/chevrolet-cruze-12209,Essence,57 Km,,2012,Manuelle,28 Nov. 2016,25000,Cruze,Chevrolet,Très bon
3353,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-panda-12208,Essence,80000 Km,4 CV,2012,,28 Nov. 2016,23500,Panda,Fiat,Très bon
3354,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-clio-12207,Essence,230000 Km,4 CV,1998,Manuelle,28 Nov. 2016,11500,Clio,Renault,Bon
3355,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/206-plus-12206,Essence,90000 Km,4 CV,2012,Manuelle,28 Nov. 2016,19500,206 plus,Peugeot,Très bon
3356,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/volkswagen-golf-6-12205,Diesel,97000 Km,,,Manuelle,28 Nov. 2016,35000,Golf 6,Volkswagen,Très bon
3357,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-b150-12204,Essence,76 Km,6 CV,2006,Manuelle,28 Nov. 2016,30000,Classe B,Mercedes,Très bon
3358,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-symbol-12203,Essence,92000 Km,5 CV,2010,Manuelle,28 Nov. 2016,17300,Symbol,Renault,Très bon
3359,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-3-12202,Diesel,125000 Km,,2010,Manuelle,28 Nov. 2016,41500,SERIE 3 ,BMW,Très bon
3360,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-cerato-12201,Essence,77000 Km,,2010,Manuelle,28 Nov. 2016,22500,Cerato,Kia,Très bon
3361,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-3-12200,Essence,82500 Km,,2010,Manuelle,28 Nov. 2016,45000,SERIE 3 ,BMW,Très bon
3362,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-500-12199,Essence,57 Km,,2012,Manuelle,28 Nov. 2016,27500,500,Fiat,Très bon
3363,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fiesta-12198,Essence,107 Km,,2009,Manuelle,28 Nov. 2016,19800,Fiesta,Ford,Très bon
3364,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/dacia-duster-12197,Diesel,62000 Km,,2012,Manuelle,28 Nov. 2016,43000,Duster,Dacia,Très bon
