,lien,Energie,Kilométrage,Puissance,Boite,Date Annonce,prix,Region,Modèle,carrosserie,telephone,COULEUR
197,www.automobile.tn,Essence,115000 km,9 CV,Automatique,25.02.2022,65 000 DT,Ben Arous,BMW X1,Citadine, 98 560 255,Noir
198,www.automobile.tn,Essence,121000 km,5 CV,Manuelle,25.02.2022,33 500 DT,Ariana,Renault Clio,Citadine, 98 560 255,Noir
199,www.automobile.tn,Essence,141000 km,7 CV,Manuelle,25.02.2022,59 000 DT,Ben Arous,BMW SÃÂÃÂ©rie 1,Citadine, 98 560 255,Noir
200,www.automobile.tn,Essence,28000 km,6 CV,Manuelle,25.02.2022,48 000 DT,Ben Arous,Dongfeng S50,Berline, 98 560 255,Noir
201,www.automobile.tn,Essence,106000 km,6 CV,Manuelle,25.02.2022,58 900 DT,Ben Arous,Nissan Juke,Citadine, 98 560 255,Noir
202,www.automobile.tn,Essence,14000 km,6 CV,Manuelle,25.02.2022,48 900 DT,Ariana,Fiat Tipo Berline,Berline, 98 560 255,Gris argent
203,www.automobile.tn,Essence,38000 km,5 CV,Manuelle,25.02.2022,31 000 DT,Ben Arous,Mahindra KUV 100,Citadine, 98 560 255,Noir
204,www.automobile.tn,Diesel,53000 km,7 CV,Manuelle,25.02.2022,28 500 DT,Ben Arous,Tata Xenon SC,Pick up, 98 560 255,Blanc
205,www.automobile.tn,Essence,84000 km,6 CV,Manuelle,25.02.2022,56 500 DT,Ben Arous,Mazda 3 sedan,Citadine, 98 560 255,Noir
206,www.automobile.tn,Essence,234000 km,19 CV,Automatique,25.02.2022,47 500 DT,Ariana,Porsche Cayenne,Citadine, 98 560 255,Noir
207,www.automobile.tn,Diesel,200000 km,15 CV,Automatique,25.02.2022,125 000 DT,Ben Arous,Audi A7 Sportback,Citadine, 98 560 255,Noir
208,www.automobile.tn,Essence,85000 km,5 CV,Manuelle,25.02.2022,35 500 DT,Ben Arous,Peugeot 208,Citadine, 98 560 255,Noir
209,www.automobile.tn,Essence,66000 km,6 CV,Manuelle,25.02.2022,52 000 DT,Ben Arous,Seat Leon SC,Citadine, 98 560 255,Noir
210,www.automobile.tn,Essence,138000 km,6 CV,Manuelle,25.02.2022,66 000 DT,Ben Arous,Jeep Renegade,Citadine, 98 560 255,Noir
211,www.automobile.tn,Diesel,198000 km,4 CV,Manuelle,25.02.2022,42 000 DT,Ben Arous,Peugeot 308,Citadine, 98 560 255,Noir
212,www.automobile.tn,Essence,8000 km,9 CV,Automatique,25.02.2022,99 000 DT,Ben Arous,Haval H6,Citadine, 98 560 255,Noir
213,www.automobile.tn,Essence,42000 km,7 CV,Manuelle,25.02.2022,78 000 DT,Ben Arous,Renault Kadjar,Citadine, 98 560 255,Noir
214,www.automobile.tn,Essence,158000 km,20 CV,Automatique,25.02.2022,49 500 DT,Ben Arous,Mazda CX-9,Citadine, 98 560 255,Noir
215,www.automobile.tn,Essence,104000 km,5 CV,Manuelle,25.02.2022,62 000 DT,Ben Arous,Audi A3,Citadine, 98 560 255,Noir
216,www.automobile.tn,Essence,170000 km,5 CV,Manuelle,25.02.2022,21 900 DT,Ben Arous,Fiat Grande Punto,Citadine, 98 560 255,Noir
217,www.automobile.tn,Essence,185000 km,5 CV,Manuelle,25.02.2022,35 500 DT,Ben Arous,KIA Rio Berline,Berline, 98 560 255,Noir
218,www.automobile.tn,Essence,91000 km,4 CV,Manuelle,25.02.2022,41 500 DT,Ben Arous,Seat Ibiza,Citadine, 98 560 255,Noir
219,www.automobile.tn,Diesel,89000 km,5 CV,Manuelle,25.02.2022,26 000 DT,Ben Arous,Fiat Fiorino,Utilitaire, 98 560 255,Blanc
220,www.automobile.tn,Essence,101000 km,6 CV,Automatique,25.02.2022,50 000 DT,Ben Arous,Seat Leon,Citadine, 98 560 255,Noir
221,www.automobile.tn,Essence,125000 km,5 CV,Manuelle,25.02.2022,28 500 DT,Ben Arous,Peugeot 208,Citadine, 98 560 255,Noir
222,www.automobile.tn,Diesel,54000 km,6 CV,Manuelle,25.02.2022,31 500 DT,Ben Arous,Dacia Dokker,Citadine, 98 560 255,Noir
