,lien,Energie,Kilométrage,Puissance,Boite,Date Annonce,prix,Region,Modèle,carrosserie,telephone,COULEUR
223,www.automobile.tn,Essence,170000 km,5 CV,Manuelle,25.02.2022,29 900 DT,Ben Arous,Volkswagen Polo,Citadine, 98 560 255,Noir
224,www.automobile.tn,Diesel,146000 km,6 CV,Manuelle,25.02.2022,26 500 DT,Ben Arous,Dacia Dokker,Citadine, 98 560 255,Noir
225,www.automobile.tn,Essence,5000 km,7 CV,Automatique,25.02.2022,66 000 DT,Ben Arous,MG 5,Citadine, 98 560 255,Noir
226,www.automobile.tn,Diesel,244000 km,10 CV,Manuelle,25.02.2022,36 000 DT,Ben Arous,Ssangyong Korando,Citadine, 98 560 255,Noir
227,www.automobile.tn,Diesel,24000 km,7 CV,Manuelle,25.02.2022,30 000 DT,Ben Arous,Tata Xenon SC,Pick up, 98 560 255,Blanc
228,www.automobile.tn,Essence,149000 km,6 CV,Manuelle,25.02.2022,34 500 DT,Ben Arous,Opel Astra,Citadine, 98 560 255,Noir
229,www.automobile.tn,Essence,111000 km,5 CV,Manuelle,25.02.2022,37 900 DT,Ben Arous,CitroÃÂÃÂ«n DS3,Citadine, 98 560 255,Noir
230,www.automobile.tn,Essence,66000 km,5 CV,Manuelle,25.02.2022,40 000 DT,Ben Arous,CitroÃÂÃÂ«n DS3,Citadine, 98 560 255,Bleu
231,www.automobile.tn,Essence,77000 km,6 CV,Manuelle,25.02.2022,43 500 DT,Ben Arous,Mazda 2,Citadine, 98 560 255,Gris argent
232,www.automobile.tn,Essence,360000 km,10 CV,Automatique,25.02.2022,29 000 DT,Ben Arous,Mercedes-Benz Classe E,Citadine, 98 560 255,Noir
233,www.automobile.tn,Essence,78000 km,11 CV,Automatique,25.02.2022,58 900 DT,Ben Arous,KIA Sportage,Citadine, 98 560 255,Blanc
234,www.automobile.tn,Essence,130000 km,19 CV,Automatique,25.02.2022,72 000 DT,Ben Arous,Mercedes-Benz ML,Citadine, 98 560 255,Noir
235,www.automobile.tn,Essence,72000 km,6 CV,Automatique,25.02.2022,75 000 DT,Ben Arous,Volkswagen Golf 7,Citadine, 98 560 255,Noir
236,www.automobile.tn,Essence,70000 km,5 CV,Manuelle,25.02.2022,39 900 DT,Ben Arous,Renault Clio,Citadine, 98 560 255,Noir
237,www.automobile.tn,Essence,123000 km,5 CV,Manuelle,25.02.2022,39 900 DT,Ben Arous,Toyota Yaris Sedan,Berline, 98 560 255,Gris argent
238,www.automobile.tn,Diesel,298000 km,6 CV,Automatique,25.02.2022,25 500 DT,Ben Arous,Volkswagen Golf 5,Citadine, 98 560 255,Gris argent
239,www.automobile.tn,Essence,49000 km,5 CV,Manuelle,25.02.2022,52 000 DT,Ben Arous,CitroÃÂÃÂ«n C4 Cactus,Citadine, 98 560 255,Noir
240,www.automobile.tn,Essence,104000 km,4 CV,Manuelle,25.02.2022,22 500 DT,Ben Arous,Peugeot 107,Citadine, 98 560 255,Noir
241,www.automobile.tn,Diesel,366000 km,7 CV,Manuelle,25.02.2022,25 000 DT,Ben Arous,Volkswagen Caddy,Utilitaire, 98 560 255,Gris anthracite
242,www.automobile.tn,Essence,160000 km,7 CV,Manuelle,25.02.2022,38 000 DT,Ben Arous,KIA Cerato,Berline, 98 560 255,Blanc
243,www.automobile.tn,Essence,122000 km,6 CV,Manuelle,25.02.2022,44 000 DT,Ben Arous,Ford Focus,Citadine, 98 560 255,Beige
244,www.automobile.tn,Diesel,191000 km,8 CV,Manuelle,25.02.2022,42 000 DT,Ben Arous,Nissan X-trail,Citadine, 98 560 255,Noir
245,www.automobile.tn,Essence,106000 km,6 CV,Manuelle,25.02.2022,86 000 DT,Ben Arous,Volkswagen Golf 7,Citadine, 98 560 255,Blanc
246,www.automobile.tn,Essence,113000 km,7 CV,Automatique,25.02.2022,43 000 DT,Ben Arous,Skoda Octavia,Berline, 98 560 255,Noir
247,www.automobile.tn,Essence,42000 km,4 CV,Manuelle,25.02.2022,38 000 DT,Ben Arous,Skoda Fabia,Citadine, 98 560 255,Bleu
248,www.automobile.tn,Diesel,165000 km,7 CV,Manuelle,25.02.2022,38 000 DT,Ben Arous,Renault Trafic,Utilitaire, 98 560 255,Gris argent
249,www.automobile.tn,Essence,110000 km,4 CV,Manuelle,25.02.2022,14 500 DT,Ben Arous,Fiat Panda,Citadine, 98 560 255,Vert
250,www.automobile.tn,Essence,216000 km,7 CV,Automatique,25.02.2022,69 000 DT,Ben Arous,BMW SÃÂÃÂ©rie 1,Citadine, 98 560 255,Blanc
251,www.automobile.tn,Essence,129000 km,9 CV,Automatique,25.02.2022,43 000 DT,Ben Arous,Volkswagen Passat CC,Berline, 98 560 255,Blanc
252,www.automobile.tn,Essence,97000 km,7 CV,Automatique,25.02.2022,145 000 DT,Ben Arous,BMW SÃÂÃÂ©rie 4 Gran CoupÃÂÃÂ©,Berline, 98 560 255,Blanc
253,www.automobile.tn,Diesel,186000 km,5 CV,Manuelle,25.02.2022,36 000 DT,Ben Arous,Dacia Duster,Citadine, 98 560 255,Blanc
254,www.automobile.tn,Essence,116000 km,4 CV,Manuelle,25.02.2022,32 500 DT,Ben Arous,Volkswagen Polo,Citadine, 98 560 255,Noir
255,www.automobile.tn,Essence,61000 km,6 CV,Manuelle,25.02.2022,21 000 DT,Ben Arous,DFSK K01,Utilitaire, 98 560 255,Gris argent
256,www.automobile.tn,Diesel,256000 km,5 CV,Manuelle,25.02.2022,43 000 DT,Ben Arous,Volkswagen Passat,Berline, 98 560 255,Gris argent
257,www.automobile.tn,Essence,222000 km,6 CV,Manuelle,25.02.2022,28 000 DT,Ben Arous,Seat Leon,Citadine, 98 560 255,Noir
258,www.automobile.tn,Essence,133000 km,16 CV,Automatique,25.02.2022,33 000 DT,Ben Arous,Mercedes-Benz ML,4 x 4, 98 560 255,Noir
259,www.automobile.tn,Diesel,120000 km,8 CV,Automatique,25.02.2022,105 000 DT,Ben Arous,Mercedes-Benz Classe E,Berline, 98 560 255,Noir
260,www.automobile.tn,Essence,147000 km,6 CV,Automatique,25.02.2022,58 000 DT,Ben Arous,Volkswagen Golf 7,Citadine, 98 560 255,Gris argent
261,www.automobile.tn,Diesel,93000 km,5 CV,Manuelle,25.02.2022,34 000 DT,Ben Arous,CitroÃÂÃÂ«n Berlingo Utilitaire,Utilitaire, 98 560 255,Blanc
262,www.automobile.tn,Diesel,163000 km,6 CV,Manuelle,25.02.2022,42 000 DT,Ben Arous,Peugeot 3008,Citadine, 98 560 255,Noir
263,www.automobile.tn,Diesel,177000 km,8 CV,Manuelle,25.02.2022,26 000 DT,Ben Arous,Mahindra Scorpio Pick-up DC,Pick up, 98 560 255,Blanc
264,www.automobile.tn,Diesel,194000 km,7 CV,Manuelle,25.02.2022,59 500 DT,Ben Arous,Ford Ranger,Pick up, 98 560 255,Blanc
265,www.automobile.tn,Essence,186000 km,13 CV,Automatique,25.02.2022,46 000 DT,Ben Arous,Audi Q5,Citadine, 98 560 255,Blanc
266,www.automobile.tn,Diesel,240000 km,6 CV,Manuelle,25.02.2022,26 500 DT,Ben Arous,Volkswagen Golf 5,Citadine, 98 560 255,Bleu
267,www.automobile.tn,Diesel,710000 km,12 CV,Manuelle,25.02.2022,24 500 DT,Ben Arous,Mazda B series,Pick up, 98 560 255,Blanc
268,www.automobile.tn,Diesel,508000 km,7 CV,Manuelle,25.02.2022,22 500 DT,Ben Arous,Mercedes-Benz Vito,Utilitaire, 98 560 255,Blanc
269,www.automobile.tn,Essence,145000 km,7 CV,Manuelle,25.02.2022,50 000 DT,Ben Arous,Alfa Romeo Giulietta,Citadine, 98 560 255,Noir
270,www.automobile.tn,Diesel,93000 km,7 CV,Manuelle,25.02.2022,100 000 DT,Ben Arous,Ford Ranger,Pick up, 98 560 255,Blanc
271,www.automobile.tn,Diesel,168000 km,7 CV,Manuelle,25.02.2022,32 000 DT,Ben Arous,Mercedes-Benz Sprinter Van,Utilitaire, 98 560 255,Blanc
272,www.automobile.tn,Diesel,392000 km,15 CV,Automatique,25.02.2022,75 000 DT,Ben Arous,Mercedes-Benz Classe GL,4 x 4, 98 560 255,Noir
273,www.automobile.tn,Diesel,142000 km,7 CV,Manuelle,25.02.2022,47 000 DT,Ben Arous,Volkswagen Transporter Fourgon 6.1,Utilitaire, 98 560 255,Blanc
274,www.automobile.tn,Diesel,368000 km,7 CV,Manuelle,25.02.2022,31 500 DT,Ben Arous,Suzuki Grand Vitara,4 x 4, 98 560 255,Gris argent
275,www.automobile.tn,Essence,204000 km,9 CV,Automatique,25.02.2022,49 000 DT,Ben Arous,Volkswagen Passat,Berline, 98 560 255,Blanc
276,www.automobile.tn,Essence,30000 km,5 CV,Automatique,25.02.2022,42 000 DT,Ben Arous,Suzuki Swift,Citadine, 98 560 255,Bleu
277,www.automobile.tn,Essence,217000 km,9 CV,Automatique,25.02.2022,39 000 DT,Ben Arous,Volkswagen Passat CC,Berline, 98 560 255,Blanc
278,www.automobile.tn,Essence,265000 km,12 CV,Automatique,25.02.2022,78 000 DT,Ben Arous,BMW SÃÂÃÂ©rie 5,Berline, 98 560 255,Blanc
279,www.automobile.tn,Essence,111000 km,5 CV,Manuelle,25.02.2022,27 900 DT,Ben Arous,Mini 3 portes,Citadine, 98 560 255,Blanc
280,www.automobile.tn,Essence,234000 km,7 CV,Manuelle,25.02.2022,25 000 DT,Ben Arous,Peugeot 207,Cabriolet, 98 560 255,Blanc
281,www.automobile.tn,Diesel,92000 km,9 CV,Manuelle,25.02.2022,82 000 DT,Ben Arous,Mazda BT-50,Pick up, 98 560 255,Noir
282,www.automobile.tn,Essence,87000 km,5 CV,Automatique,25.02.2022,41 000 DT,Ben Arous,Suzuki Baleno,Citadine, 98 560 255,Noir
283,www.automobile.tn,Diesel,340000 km,13 CV,Automatique,25.02.2022,44 000 DT,Ben Arous,Mercedes-Benz Classe S,Berline, 98 560 255,Noir
284,www.automobile.tn,Diesel,117000 km,5 CV,Manuelle,25.02.2022,25 500 DT,Ben Arous,Fiat Fiorino,Utilitaire, 98 560 255,Blanc
285,www.automobile.tn,Essence,91000 km,4 CV,Manuelle,25.02.2022,35 000 DT,Ben Arous,Toyota Yaris,Citadine, 98 560 255,Bleu
286,www.automobile.tn,Diesel,227000 km,15 CV,Automatique,25.02.2022,95 000 DT,Ben Arous,BMW X6,Citadine, 98 560 255,Noir
287,www.automobile.tn,Essence,153000 km,4 CV,Manuelle,25.02.2022,37 000 DT,Ben Arous,Mini 3 portes,Citadine, 98 560 255,Noir
288,www.automobile.tn,Essence,18000 km,7 CV,Automatique,25.02.2022,110 000 DT,Ben Arous,Honda HR-V,Citadine, 98 560 255,Blanc
289,www.automobile.tn,Essence,56000 km,7 CV,Manuelle,25.02.2022,53 000 DT,Ben Arous,Alfa Romeo Giulietta,Citadine, 98 560 255,Noir
290,www.automobile.tn,Essence,79000 km,6 CV,Automatique,25.02.2022,53 000 DT,Ben Arous,Seat Leon,Citadine, 98 560 255,Noir
291,www.automobile.tn,Diesel,68000 km,6 CV,Manuelle,25.02.2022,64 000 DT,Ben Arous,Fiat 500X,Citadine, 98 560 255,Gris argent
292,www.automobile.tn,Diesel,191000 km,15 CV,Automatique,25.02.2022,90 000 DT,Ben Arous,Audi Q7,Citadine, 98 560 255,Noir
293,www.automobile.tn,Essence,149000 km,9 CV,Automatique,25.02.2022,105 900 DT,Ben Arous,BMW SÃÂÃÂ©rie 5,Berline, 98 560 255,Noir
294,www.automobile.tn,Essence,196000 km,7 CV,Manuelle,25.02.2022,41 000 DT,Ben Arous,Peugeot 5008,Citadine, 98 560 255,Gris argent
295,www.automobile.tn,Essence,112000 km,17 CV,Automatique,25.02.2022,30 000 DT,Ben Arous,Volkswagen Touareg,Citadine, 98 560 255,Gris argent
296,www.automobile.tn,Essence,65000 km,6 CV,Manuelle,25.02.2022,81 000 DT,Ben Arous,Volkswagen Golf 7,Citadine, 98 560 255,Noir
297,www.automobile.tn,Essence,112000 km,5 CV,Manuelle,25.02.2022,40 000 DT,Ben Arous,CitroÃÂÃÂ«n DS3,Citadine, 98 560 255,Rouge
298,www.automobile.tn,Diesel,155000 km,11 CV,Automatique,25.02.2022,58 000 DT,Ben Arous,Hyundai ix35,Citadine, 98 560 255,Blanc
299,www.automobile.tn,Essence,138000 km,6 CV,Manuelle,25.02.2022,32 500 DT,Ben Arous,CitroÃÂÃÂ«n C4,Citadine, 98 560 255,Blanc
300,www.automobile.tn,Essence,174000 km,7 CV,Manuelle,25.02.2022,62 500 DT,Ben Arous,BMW SÃÂÃÂ©rie 1,Citadine, 98 560 255,Blanc
301,www.automobile.tn,Diesel,138000 km,9 CV,Manuelle,25.02.2022,69 000 DT,Ben Arous,Mazda BT-50,Pick up, 98 560 255,Marron
302,www.automobile.tn,Essence,96000 km,6 CV,Automatique,25.02.2022,64 000 DT,Ben Arous,Nissan Qashqai,Citadine, 98 560 255,Rouge
303,www.automobile.tn,Diesel,178000 km,9 CV,Manuelle,25.02.2022,69 900 DT,Ben Arous,Mazda BT-50,Pick up, 98 560 255,Noir
304,www.automobile.tn,Essence,85000 km,5 CV,Automatique,25.02.2022,36 900 DT,Ben Arous,Hyundai Grand i10,Citadine, 98 560 255,Noir
305,www.automobile.tn,Diesel,278000 km,10 CV,Automatique,25.02.2022,47 000 DT,Ben Arous,Mercedes-Benz Classe C,Berline, 98 560 255,Noir
306,www.automobile.tn,Essence,180000 km,12 CV,Automatique,25.02.2022,69 000 DT,Ben Arous,Mercedes-Benz Classe E coupÃÂÃÂ©,CoupÃÂÃÂ©, 98 560 255,Blanc
307,www.automobile.tn,Diesel,193000 km,6 CV,Manuelle,25.02.2022,35 900 DT,Ben Arous,Volkswagen Passat,Berline, 98 560 255,Gris argent
308,www.automobile.tn,Essence,141000 km,8 CV,Manuelle,25.02.2022,55 000 DT,Ben Arous,Fiat 500X,Citadine, 98 560 255,Gris argent
309,www.automobile.tn,Diesel,161000 km,6 CV,Manuelle,25.02.2022,50 000 DT,Ben Arous,Peugeot 508,Berline, 98 560 255,Noir
310,www.automobile.tn,Essence,207000 km,9 CV,Manuelle,25.02.2022,35 000 DT,Ben Arous,Peugeot 508,Berline, 98 560 255,Gris argent
311,www.automobile.tn,Diesel,97000 km,9 CV,Automatique,25.02.2022,170 000 DT,Ben Arous,Land Rover Discovery Sport,4 x 4, 98 560 255,Noir
312,www.automobile.tn,Essence,132000 km,9 CV,Automatique,25.02.2022,90 000 DT,Ben Arous,Mercedes-Benz Classe E,Berline, 98 560 255,Blanc
313,www.automobile.tn,Essence,170000 km,9 CV,Manuelle,25.02.2022,59 500 DT,Ben Arous,Mercedes-Benz Classe C,Berline, 98 560 255,Blanc
314,www.automobile.tn,Essence,256000 km,11 CV,Manuelle,25.02.2022,30 000 DT,Ben Arous,Opel Insignia,Berline, 98 560 255,Gris argent
315,www.automobile.tn,Essence,141000 km,5 CV,Manuelle,25.02.2022,21 000 DT,Ben Arous,CitroÃÂÃÂ«n C-ElysÃÂÃÂ©e,Berline, 98 560 255,Beige
316,www.automobile.tn,Essence,29000 km,7 CV,Manuelle,25.02.2022,22 000 DT,Ben Arous,DFSK K01,Utilitaire, 98 560 255,Blanc
317,www.automobile.tn,Diesel,245000 km,12 CV,Automatique,25.02.2022,26 000 DT,Ben Arous,BMW X5,Citadine, 98 560 255,Gris argent
318,www.automobile.tn,Essence,180000 km,7 CV,Manuelle,25.02.2022,31 000 DT,Ben Arous,Ford Focus,Citadine, 98 560 255,Rouge
319,www.automobile.tn,Essence,224000 km,7 CV,Automatique,25.02.2022,42 000 DT,Ben Arous,BMW SÃÂÃÂ©rie 1,Citadine, 98 560 255,Blanc
320,www.automobile.tn,Essence,49000 km,9 CV,Manuelle,25.02.2022,28 000 DT,Ben Arous,DFSK K01,Utilitaire, 98 560 255,Blanc
321,www.automobile.tn,Essence,187000 km,7 CV,Manuelle,25.02.2022,68 000 DT,Ben Arous,Mercedes-Benz Classe A,Citadine, 98 560 255,Blanc
322,www.automobile.tn,Essence,135000 km,15 CV,Automatique,25.02.2022,90 000 DT,Ben Arous,Haval H9,4 x 4, 98 560 255,Gris argent
323,www.automobile.tn,Diesel,410000 km,10 CV,Manuelle,25.02.2022,42 000 DT,Ben Arous,Iveco Daily,Utilitaire, 98 560 255,Blanc
324,www.automobile.tn,Diesel,120000 km,16 CV,Automatique,25.02.2022,280 000 DT,Ben Arous,Land Rover Range Rover Sport,4 x 4, 98 560 255,Blanc
325,www.automobile.tn,Essence,128000 km,9 CV,Manuelle,25.02.2022,29 900 DT,Ben Arous,Peugeot 508,Berline, 98 560 255,Gris argent
326,www.automobile.tn,Diesel,160000 km,15 CV,Automatique,25.02.2022,69 000 DT,Ben Arous,Mercedes-Benz ML,4 x 4, 98 560 255,Noir
327,www.automobile.tn,Essence,17000 km,6 CV,Manuelle,25.02.2022,77 000 DT,Ben Arous,Mazda 3 sedan,Berline, 98 560 255,Blanc
328,www.automobile.tn,Essence,75000 km,6 CV,Manuelle,25.02.2022,48 000 DT,Ben Arous,Seat Leon SC,Citadine, 98 560 255,Blanc
329,www.automobile.tn,Essence,126000 km,5 CV,Manuelle,25.02.2022,33 000 DT,Ben Arous,CitroÃÂÃÂ«n DS3,Citadine, 98 560 255,Bleu
