,lien,Energie,Kilométrage,Puissance,Mise en circulation,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix
15,www.affare.tn,Essence,85000.0,5.0,2018-09-07,2018.0,13/02/22,2.0,hiver,Manuelle,Ben arous, citroen,Citroen,,56000.0
16,www.affare.tn,Diesel,75000.0,,2013-04-15,2013.0,13/02/22,2.0,hiver,Automatique,Tunis, e220cdi,Mercedes,,125000.0
17,www.affare.tn,Essence,165000.0,5.0,2015-09-15,2015.0,13/02/22,2.0,hiver,Manuelle,Ben arous, peugeot,Peugeot,,37500.0
18,www.affare.tn,Diesel,259000.0,6.0,2009-02-02,2008.0,13/02/22,2.0,hiver,Manuelle,Sousse, renault,Renault,,19999.0
19,www.affare.tn,Essence,170.0,10.0,1998-01-05,1998.0,13/02/22,2.0,hiver,Manuelle,Jendouba, slk,Mercedes,,24500.0
20,www.affare.tn,Essence,78000.0,5.0,2018-05-16,2018.0,13/02/22,2.0,hiver,Manuelle,Sousse, peugeot,Peugeot,,25000.0
21,www.affare.tn,Essence,0.0,4.0,2022-02-12,1998.0,02/12/22,2.0,hiver,Manuelle,Beja, peugeot,Peugeot,,11000.0
22,www.affare.tn,Essence,58000.0,5.0,2019-08-16,2019.0,02/12/22,2.0,hiver,Manuelle,Bizerte, c,,,38500.0
23,www.affare.tn,Essence,60000.0,5.0,2019-01-04,2019.0,02/12/22,2.0,hiver,Manuelle,Bizerte, c,,,27800.0
24,www.affare.tn,Essence,231000.0,5.0,2007-06-01,2007.0,02/12/22,2.0,hiver,Manuelle,Tunis, voiture,,,17000.0
25,www.affare.tn,Essence,80000.0,5.0,2022-02-12,2016.0,02/12/22,2.0,hiver,Manuelle,Nabeul, a,,,1.0
26,www.affare.tn,Essence,270.0,,,2002.0,,,,,, polo5,Volkswagen,,
27,www.affare.tn,Essence,86000.0,4.0,2016-05-10,2016.0,02/12/22,2.0,hiver,Manuelle,Manouba, polo,Volkswagen,,35000.0
28,www.affare.tn,Essence,14000.0,,2017-08-12,2017.0,02/12/22,2.0,hiver,Automatique,Sfax, opel,Opel,,24000.0
29,www.affare.tn,Essence,189000.0,5.0,2012-03-05,2012.0,02/12/22,2.0,hiver,Manuelle,Gabes, kia,Kia,,26000.0
30,www.affare.tn,Essence,58000.0,5.0,2019-08-22,2019.0,02/11/22,2.0,hiver,Manuelle,Ariana, citroen,Citroen,,38500.0
31,www.affare.tn,Diesel,160000.0,9.0,2016-09-10,2016.0,02/11/22,2.0,hiver,Manuelle,Nabeul, mazda,Mazda,,63000.0
32,www.affare.tn,Essence,160.0,6.0,"À vendre une voiture kia Rio en très bon état, non accidentée. Série 144. Essence, Semi assistée, Kilomètrages160km. ",2011.0,02/11/22,2.0,hiver,,Ariana, voiture,,,23000.0
33,www.affare.tn,Essence,250000.0,5.0,2001-01-01,2001.0,02/11/22,2.0,hiver,Manuelle,Manouba, a,,,15200.0
34,www.affare.tn,Essence,160000.0,5.0,2011-12-11,2011.0,02/11/22,2.0,hiver,Manuelle,Tunis, c3,Citroen,,26400.0
35,www.affare.tn,Essence,150000.0,7.0,2015-08-12,2015.0,02/11/22,2.0,hiver,Manuelle,Tunis, seat,Seat,,28800.0
36,www.affare.tn,Essence,84000.0,5.0,2013-11-26,2013.0,02/11/22,2.0,hiver,Manuelle,Tunis, ford,Ford,,30800.0
37,www.affare.tn,Diesel,350657.0,7.0,1992-02-10,1992.0,02/10/22,2.0,hiver,Manuelle,Tunis, fiesta,Ford,,5500.0
38,www.affare.tn,Essence,136.0,4.0,2010-05-13,2010.0,02/10/22,2.0,hiver,Manuelle,Tunis, kia,Kia,,22000.0
39,www.affare.tn,Essence,24000.0,5.0,2016-02-09,2016.0,02/10/22,2.0,hiver,Manuelle,Tunis, fiesta,Ford,,39500.0
40,www.affare.tn,Essence,74000.0,4.0,2011-04-13,2011.0,02/10/22,2.0,hiver,Manuelle,Ben arous, c1,Citroen,,22000.0
41,www.affare.tn,Diesel,10.0,5.0,2014-06-10,2014.0,02/10/22,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,,18500.0
42,www.affare.tn,Essence,142.0,6.0,2007-06-01,2007.0,,,,Manuelle,Sousse, peugeot,Peugeot,,
43,www.affare.tn,Essence,30000.0,9.0,2021-01-13,2021.0,,,,Automatique,Tunis, audi,Audi,,
44,www.affare.tn,Essence,386000.0,5.0,2003-07-02,2003.0,02/09/22,2.0,hiver,Manuelle,Sousse, 307,Peugeot,,16000.0
45,www.affare.tn,Diesel,296000.0,6.0,1999-05-11,1999.0,02/09/22,2.0,hiver,Manuelle,Tunis, volkswagen,Volkswagen,,19000.0
46,www.affare.tn,Essence,102000.0,4.0,2017-02-28,2017.0,02/09/22,2.0,hiver,Manuelle,Ben arous, c3,Citroen,,35500.0
47,www.affare.tn,Essence,125000.0,5.0,polo 7 1ère /5/ intérieur et extérieur neufs et d'origine tout les Vitres d'origine Vitres électriques clima / airbag/ assistée /absposte cd d'origine voiture 0% dépense,2013.0,,,,,Sousse, polo,Volkswagen,,
48,www.affare.tn,Essence,130000.0,7.0,2009-11-13,2009.0,02/09/22,2.0,hiver,Manuelle,Tunis, bmw,BMW,,50000.0
49,www.affare.tn,Diesel,0.0,,,2020.0,,,,,, camion,,,
50,www.affare.tn,Essence,0.0,5.0,2013-12-10,2013.0,02/08/22,2.0,hiver,Manuelle,Bizerte, kia,Kia,,28000.0
51,www.affare.tn,Essence,235.0,7.0,2022-02-08,2010.0,02/08/22,2.0,hiver,Manuelle,Ben arous, passat,Volkswagen,,36000.0
52,www.affare.tn,Essence,200.0,6.0,2012-08-19,2012.0,02/07/22,2.0,hiver,Manuelle,Nabeul, hyundai,Hyundai,,26.0
53,www.affare.tn,Diesel,300000.0,6.0,2001-12-12,2001.0,02/07/22,2.0,hiver,Manuelle,Ben arous, golf,Volkswagen,,18000.0
54,www.affare.tn,Diesel,200.0,,,2000.0,02/07/22,2.0,hiver,,Mahdia, annonce,,,20000.0
55,www.affare.tn,Essence,200000.0,4.0,2000-12-12,2000.0,02/07/22,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,,12500.0
56,www.affare.tn,Diesel,360000.0,11.0,2010-10-01,2010.0,02/07/22,2.0,hiver,Automatique,Ben arous, kia,Kia,,46000.0
57,www.affare.tn,Essence,136000.0,5.0,2009-09-17,2009.0,02/07/22,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,,36000.0
58,www.affare.tn,Essence,4 ,,,1990.0,,,,,, peugeot,Peugeot,,
59,www.affare.tn,Essence,1000,6.0,2022-01-06,2022.0,02/07/22,2.0,hiver,Manuelle,Tunis, tiggo2,Chery,,49000.0
60,www.affare.tn,Essence,110000,5.0,2017-09-30,2017.0,02/06/22,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,,29500.0
61,www.affare.tn,Essence,200000,6.0,2017-10-18,2017.0,02/06/22,2.0,hiver,Manuelle,Ariana, vendre,,,48000.0
62,www.affare.tn,Essence,55700,7.0,2017-12-26,2017.0,02/06/22,2.0,hiver,Manuelle,Ariana, a,,,58000.0
63,www.affare.tn,Essence,253000,4.0,2009-01-31,2009.0,02/06/22,2.0,hiver,Manuelle,Nabeul, av,,,20000.0
64,www.affare.tn,Essence,28000,4.0,Boîte 5,2019.0,02/06/22,2.0,hiver,,Ariana, a,,,34000.0
65,www.affare.tn,Essence,130000,5.0,2016-07-22,2016.0,02/06/22,2.0,hiver,Manuelle,Nabeul, 308,Peugeot,,41500.0
66,www.affare.tn,Diesel,199000,12.0,1981-12-12,1981.0,02/05/22,2.0,hiver,Manuelle,Ben arous, camion,,,16000.0
67,www.affare.tn,Essence,115000,4.0,2013-03-31,2013.0,02/05/22,2.0,hiver,Manuelle,Monastir, peugeot,Peugeot,,32500.0
68,www.affare.tn,Essence,129000,5.0,01/07/2014,2014.0,02/05/22,2.0,hiver,Manuelle,Ben arous, ford,Ford,,35600.0
69,www.affare.tn,Essence,35000,6.0,2020-04-17,2020.0,02/05/22,2.0,hiver,Manuelle,Mahdia, chery,Chery,,42500.0
70,www.affare.tn,Diesel,0000,7.0,2003-11-01,2003.0,02/05/22,2.0,hiver,Manuelle,Zaghouan, citroen,Citroen,,15200.0
71,www.affare.tn,Essence,145000,5.0,2012-05-10,2012.0,02/04/22,2.0,hiver,Manuelle,Sousse, une,,,28000.0
72,www.affare.tn,Essence,164000,7.0,2012-05-01,2012.0,02/04/22,2.0,hiver,Manuelle,Ariana, renault,Renault,,27000.0
73,www.affare.tn,Essence,124000,5.0,2022-02-04,2014.0,02/04/22,2.0,hiver,Manuelle,Tunis, premiere,,,29500.0
74,www.affare.tn,Diesel,170000,,2017-11-01,2017.0,02/04/22,2.0,hiver,Manuelle,Ben arous, vente,,,20000.0
75,www.affare.tn,Diesel,190000,6.0,2011-09-10,2010.0,02/04/22,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,,30000.0
76,www.affare.tn,Essence,130.000,5.0,2011-09-01,2011.0,,,,Manuelle,Ariana, citro%C3%ABn,Citroen,,
77,www.affare.tn,Essence,311000,4.0,1998-10-13,1998.0,02/03/22,2.0,hiver,Manuelle,Ariana, peugeot,Peugeot,,12500.0
78,www.affare.tn,Essence,170.000,,2016-01-03,2016.0,02/03/22,2.0,hiver,Manuelle,Tunis, c,,,23000.0
79,www.affare.tn,Essence,40000,,2019-02-02,2019.0,02/02/22,2.0,hiver,Manuelle,Tunis, fiat,Fiat,,45000.0
80,www.affare.tn,Essence,139000,5.0,2016-01-31,2016.0,02/02/22,2.0,hiver,Manuelle,Ariana, kia,Kia,,33000.0
81,www.affare.tn,Diesel,270000,,2006-02-02,2006.0,,,,Manuelle,Ben arous, passat,Volkswagen,,
82,www.affare.tn,Essence,50000,5.0,2017-01-01,2017.0,,,,Manuelle,Ben arous, opel,Opel,,
83,www.affare.tn,Essence,142000,,2014-08-14,2014.0,02/01/22,2.0,hiver,Manuelle,Ben arous, vente,,,53000.0
84,www.affare.tn,Diesel,238000,4.0,2010-03-10,2010.0,31/01/22,1.0,hiver,Manuelle,Ben arous, polo,Volkswagen,,16500.0
85,www.affare.tn,Essence,53,5.0,2017-11-16,2017.0,31/01/22,1.0,hiver,Manuelle,Tunis, ford,Ford,,39500.0
86,www.affare.tn,Essence,117000,6.0,1996-02-05,1994.0,31/01/22,1.0,hiver,Manuelle,Ariana, golf,Volkswagen,,11500.0
87,www.affare.tn,Essence,131000,6.0,2017-02-02,2017.0,31/01/22,1.0,hiver,Manuelle,Tunis, a,,,34000.0
88,www.affare.tn,Essence,172000,5.0,2022-01-31,2008.0,31/01/22,1.0,hiver,Manuelle,Tunis, ford,Ford,,18800.0
89,www.affare.tn,Essence,152000,5.0,2014-01-01,2014.0,31/01/22,1.0,hiver,Manuelle,Ariana, nissan,Nissan,,24000.0
90,www.affare.tn,Essence,152510,7.0,2011-07-22,2011.0,30/01/22,1.0,hiver,Manuelle,Nabeul, c4,Citroen,,29500.0
91,www.affare.tn,Essence,130,5.0,2017-12-12,2017.0,,,,Manuelle,Mahdia, voiture.,,,
92,www.affare.tn,Essence,130000,14.0,2013-05-30,2013.0,30/01/22,1.0,hiver,Manuelle,Kairouan, citron,,,31000.0
93,www.affare.tn,Essence,190000,6.0,2017-03-27,2017.0,30/01/22,1.0,hiver,Manuelle,Tunis, geat,,,28000.0
94,www.affare.tn,Essence,127000,5.0,2022-01-28,2012.0,30/01/22,1.0,hiver,Manuelle,Tunis, premiere,,,26000.0
95,www.affare.tn,Essence,172000,5.0,2022-01-29,2008.0,29/01/22,1.0,hiver,Manuelle,Tunis, ford,Ford,,18800.0
96,www.affare.tn,Essence,68000,11.0,Automatique,2008.0,29/01/22,1.0,hiver,,Sfax, dodge,Dodge,,48000.0
97,www.affare.tn,Essence,155000,5.0,2009-07-09,2009.0,28/01/22,1.0,hiver,Manuelle,Tunis, a,,,25000.0
98,www.affare.tn,Diesel,274000,5.0,2009-09-15,2009.0,28/01/22,1.0,hiver,Manuelle,Tunis, voiture,,,27000.0
